platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country
appstore,사직도,신세계입니다.,영상 작업하면서 제일 노가대 중 하나가 자막이었는데 한방에 해결합니다. 정확도도 좋고 디자인도 좋고 사용하기도 편합니다. 별 다섯개 꾹꾹 누르고 갑니다.,5,0.6.5,0,0,2021-02-24T19:35:13-07:00,7035239500,kr
appstore,soojuoo,자막 동시에 여러개,자막이 동시에 여러개 들어갈 수 있는 기능이 생기면 정말정말 좋을 것 같아요!! 한 컷에 자막 하나가 아닌 여러개 이곳 저곳 넣을 수 있게요! 제발 이 기능 부탁드려요~ 그리구 자막에 키프레임 설정도 생긴다면 완전 완벽입니다!,5,0.6.5,0,0,2021-02-22T07:10:44-07:00,7025567965,kr
appstore,바니링,주로 아이패드로 쓰고 있는데,로그인이 안됩니다! 비밀번호를 다시 설정하려고 해도 타임아웃이라고 하는데 어떻게 해결해야 할까요??,4,0.6.4,0,0,2021-02-15T21:54:19-07:00,6999871678,kr
appstore,나 뉴규,자! 꼭 보세요!,"짜잔!!! 여러분은 이제부터 이 앱의
저주에 걸리셨습니다!
이저주에 걸리신 여러분 잘들으세요
며칠동안은 잘 되다가 어머나!!!내가 만든 동영상~내가 내 사진파일로 보낸다는데~!왜 내보내기가 안될까??? 
하하하 제 심성을 건드셨으니!1점 줍니다!
어머~~~말 안한거 있다!
이거 껐다 켜면은 해결

된다고할줄알았죠~!
응 아니야 음성 불러오는것도 겁나 힘들더니
핑 렉도 심하고 참.... 
이거 한번 저주 걸리면 ! 영원히 안되는건가?
어이고어이고... 만년설이 물이 되어 흐를때까지 안된다구요?!
우와.. 그러면 벼락 맞고 로또 당첨되는게 더 쉽겠어요 !
만약 이 저주를 피하고 싶다면
딴 앱 까세요 ㅎㅎ!
한마디로! 망앱!",1,0.6.3,0,0,2021-02-03T01:19:13-07:00,6948003797,kr
appstore,크루즈 이,리뷰,좋아요 좋아요 너무 좋아요~~,5,0.6.0,0,0,2021-01-20T13:14:10-07:00,6893648724,kr
appstore,준인데여,자막 초 설정 해주세요!,자막을 조금 띄엄띄엄 넣고 싶은데 계속 이어지게 되니까 자막을 몇 초부터 몇 초까지 넣을 건지 설정할 수 있게 해주세요,3,0.5.11,0,0,2021-01-07T20:42:36-07:00,6843845091,kr
appstore,미소시루0,감사합니다,"감사하고 사랑합니다 ㅠㅠ
이렇게 훌륭한 앱을 무료로 이용할수 있게 해주시다뇨ㅠㅠ",5,0.5.11,0,0,2020-12-28T06:55:28-07:00,6803280947,kr
appstore,퍄노찬미아노,고맙습니다,"잘 사용하고 있습니다

무료로 사용하기에 로고는 지우지 않고 영상을 올리고 있습니다

지금도 좋지만 더 발전하길 바랍니다",5,0.5.8,0,0,2020-11-29T09:31:16-07:00,6699611933,kr
appstore,ㅎㅏ이호,감동스러워요...,사실 얼마나 인식을 잘할까 했는데...진짜 대박이에요..여러분 꼭 쓰세요.ㅎㅎ 영상만들떼 자막 귀찮아서 안넣던 1인인데 무조건.. ㅠㅠ 감사합니다,5,0.5.8,0,0,2020-11-28T15:23:52-07:00,6696797380,kr
appstore,고양이엄마꽃돼지,넘좋아요,아이폰으로 편집하면 넘좋아요,5,0.5.7,0,0,2020-11-27T03:34:26-07:00,6691002714,kr
